Questions,Choices
Which of the following cloud computing products have you used at work or school in the last 5 years (Select all that apply)?,AWS Elastic Compute Cloud (EC2)
,Google Compute Engine
,AWS Elastic Beanstalk
,Google App Engine
,Google Kubernetes Engine
,AWS Lambda
,Google Cloud Functions
,AWS Batch
,Azure Virtual Machines
,Azure Container Service
,Azure Functions
,Azure Event Grid
,Azure Batch
,Azure Kubernetes Service
,IBM Cloud Virtual Servers
,IBM Cloud Container Registry
,IBM Cloud Kubernetes Service
,IBM Cloud Foundry
Which of the following relational database products have you used at work or school in the last 5 years? (Select all that apply),AWS Relational Database Service
,AWS Aurora
,Google Cloud SQL
,Google Cloud Spanner
,AWS DynamoDB
,Google Cloud Datastore
,Google Cloud Bigtable
,AWS SimpleDB
,Microsoft SQL Server
,MySQL
,PostgresSQL
,SQLite
,Oracle Database
,Ingres
,Microsoft Access
,NexusDB
,SAP IQ
,Google Fusion Tables
,Azure Database for MySQL
,Azure Cosmos DB
,Azure SQL Database
,Azure Database for PostgreSQL
,IBM Cloud Compose
,IBM Cloud Compose for MySQL
,IBM Cloud Compose for PostgreSQL
,IBM Cloud Db2
Which types of data do you currently interact with most often at work or school? (Select all that apply),Audio Data
,Categorical Data
,Genetic Data
,Geospatial Data
,Image Data
,Numerical Data
,Sensor Data
,Tabular Data
,Text Data
,Time Series Data
,Video Data
,Other Data
What is the type of data that you currently interact with most often at work or school?,Other Data
,Genetic Data
,Time Series Data
,Image Data
,Tabular Data
,Text Data
,Numerical Data
,Audio Data
,Geospatial Data
,Video Data
,Sensor Data
,Categorical Data
"Do you consider ML models to be ""black boxes"" with outputs that are difficult or impossible to explain?",I am confident that I can explain the outputs of most if not all ML models
,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
,"Yes, most ML models are ""black boxes"""
,I do not know; I have no opinion on the matter
,I am confident that I can understand and explain the outputs of many but not all ML models
